,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
838,601127.SH,20200102,11.46,11.5,11.41,11.49,11.4,0.09,0.7895,24177.92,27739.209
837,601127.SH,20200103,11.5,11.54,11.47,11.5,11.49,0.01,0.087,17999,20702.355
836,601127.SH,20200106,11.47,11.53,11.37,11.41,11.5,-0.09,-0.7826,33608.4,38355.324
835,601127.SH,20200107,11.45,11.54,11.42,11.53,11.41,0.12,1.0517,27595.89,31704.228
834,601127.SH,20200108,11.5,11.68,11.48,11.6,11.53,0.07,0.6071,41123.94,47768.416
833,601127.SH,20200109,11.61,11.73,11.59,11.63,11.6,0.03,0.2586,24109.81,28098.076
832,601127.SH,20200110,11.61,11.66,11.5,11.52,11.63,-0.11,-0.9458,19366.42,22355.634
831,601127.SH,20200113,11.55,11.71,11.55,11.7,11.52,0.18,1.5625,25001.13,29162.862
830,601127.SH,20200114,11.71,11.73,11.62,11.63,11.7,-0.07,-0.5983,18277,21330.461
829,601127.SH,20200115,11.61,11.61,11.4,11.4,11.63,-0.23,-1.9776,20038,22981.836
828,601127.SH,20200116,11.43,11.51,11.4,11.4,11.4,0,0,12096,13832.391
827,601127.SH,20200117,11.45,11.46,11.35,11.35,11.4,-0.05,-0.4386,11554.75,13157.16
826,601127.SH,20200120,11.31,11.39,11.21,11.35,11.35,0,0,18675.03,21081.847
825,601127.SH,20200121,11.35,11.39,11.22,11.33,11.35,-0.02,-0.1762,18699.55,21127.823
824,601127.SH,20200122,11.33,11.33,11.08,11.12,11.33,-0.21,-1.8535,17858,19924.109
823,601127.SH,20200123,11,11.08,10.08,10.27,11.12,-0.85,-7.6439,36351,38410.248
822,601127.SH,20200203,9.24,9.24,9.24,9.24,10.27,-1.03,-10.0292,5288,4886.112
821,601127.SH,20200204,8.32,8.82,8.32,8.35,9.24,-0.89,-9.632,63025.78,53238.362
820,601127.SH,20200205,8.41,8.78,8.4,8.78,8.35,0.43,5.1497,47699.37,41305.722
819,601127.SH,20200206,8.75,9.18,8.65,9.1,8.78,0.32,3.6446,38538.99,34614.425
818,601127.SH,20200207,9.37,9.4,9.11,9.25,9.1,0.15,1.6484,33841.98,31308.263
817,601127.SH,20200210,9.25,9.48,9.21,9.47,9.25,0.22,2.3784,25406,23825.945
816,601127.SH,20200211,9.43,9.58,9.32,9.42,9.47,-0.05,-0.528,17103.86,16160.202
815,601127.SH,20200212,9.43,9.53,9.38,9.52,9.42,0.1,1.0616,17537.06,16619.144
814,601127.SH,20200213,9.52,9.59,9.33,9.34,9.52,-0.18,-1.8908,18001.51,16937.79
813,601127.SH,20200214,9.38,9.42,9.17,9.3,9.34,-0.04,-0.4283,20370.91,18879.292
812,601127.SH,20200217,9.38,9.6,9.35,9.58,9.3,0.28,3.0108,31315.7,29815.851
811,601127.SH,20200218,9.61,9.61,9.43,9.6,9.58,0.02,0.2088,33741.16,32185.338
810,601127.SH,20200219,9.6,9.76,9.45,9.49,9.6,-0.11,-1.1458,38942.48,37411.441
809,601127.SH,20200220,9.51,9.75,9.42,9.7,9.49,0.21,2.2129,35906.58,34532.337
808,601127.SH,20200221,9.69,9.94,9.62,9.82,9.7,0.12,1.2371,34275.21,33574.782
807,601127.SH,20200224,9.75,9.79,9.58,9.64,9.82,-0.18,-1.833,31820.84,30702.754
806,601127.SH,20200225,9.6,9.99,9.28,9.89,9.64,0.25,2.5934,68382.77,66072.851
805,601127.SH,20200226,9.73,9.94,9.55,9.59,9.89,-0.3,-3.0334,41140.17,40017.439
804,601127.SH,20200227,9.88,10.55,9.88,10.55,9.59,0.96,10.0104,90517.1,94223.946
803,601127.SH,20200228,10.03,10.69,9.88,10.04,10.55,-0.51,-4.8341,107020.05,109903.499
802,601127.SH,20200302,10.2,10.39,10,10.26,10.04,0.22,2.1912,72696.19,74197.006
801,601127.SH,20200303,10.4,10.58,10.28,10.54,10.26,0.28,2.729,71885.26,74988.242
800,601127.SH,20200304,10.42,10.98,10.41,10.94,10.54,0.4,3.7951,81985.42,87982.088
799,601127.SH,20200305,10.93,11.24,10.64,11.09,10.94,0.15,1.3711,89630.7,97589.828
798,601127.SH,20200306,11.02,11.19,10.93,11.01,11.09,-0.08,-0.7214,58670.91,64705.777
797,601127.SH,20200309,10.8,10.96,10.25,10.43,11.01,-0.58,-5.2679,75200.88,79216.498
796,601127.SH,20200310,10.44,10.82,10.38,10.65,10.43,0.22,2.1093,55628.07,58995.728
795,601127.SH,20200311,10.65,10.66,9.92,9.98,10.65,-0.67,-6.2911,81517.92,83295.473
794,601127.SH,20200313,9.08,9.95,9.08,9.53,9.98,-0.45,-4.509,60653.92,57336.275
793,601127.SH,20200316,9.53,9.69,8.81,8.9,9.53,-0.63,-6.6107,64775.16,59776.443
792,601127.SH,20200317,8.88,9.13,8.45,8.63,8.9,-0.27,-3.0337,39244.82,34145.367
791,601127.SH,20200318,8.74,8.87,8.34,8.37,8.63,-0.26,-3.0127,34632.58,29837.349
790,601127.SH,20200319,8.37,8.45,8.05,8.25,8.37,-0.12,-1.4337,34012.07,27951.079
789,601127.SH,20200320,8.4,8.41,8.2,8.35,8.25,0.1,1.2121,16529,13713.074
788,601127.SH,20200323,8.11,8.21,7.9,8.11,8.35,-0.24,-2.8743,25767.64,20822.368
787,601127.SH,20200324,8.2,8.44,8.17,8.41,8.11,0.3,3.6991,29615.04,24637.623
786,601127.SH,20200325,8.58,8.78,8.48,8.56,8.41,0.15,1.7836,32001.78,27477.7
785,601127.SH,20200326,8.49,8.59,8.38,8.44,8.56,-0.12,-1.4019,27777.49,23562.856
784,601127.SH,20200327,8.56,8.59,8.35,8.36,8.44,-0.08,-0.9479,15033,12702.556
783,601127.SH,20200330,8.22,8.28,8,8.16,8.36,-0.2,-2.3923,15148.29,12287.862
782,601127.SH,20200331,8.25,8.32,8.03,8.03,8.16,-0.13,-1.5931,15157,12346.836
781,601127.SH,20200401,8.15,8.28,8.04,8.07,8.03,0.04,0.4981,22122,17995.726
780,601127.SH,20200402,8,8.23,8,8.22,8.07,0.15,1.8587,18371.82,14966.562
779,601127.SH,20200403,8.83,9.04,8.83,9.04,8.22,0.82,9.9757,22732.46,20505.938
778,601127.SH,20200407,9.04,9.71,8.9,9.32,9.04,0.28,3.0973,97471.53,91675.165
777,601127.SH,20200408,9.06,9.13,8.86,8.93,9.32,-0.39,-4.1845,64732.97,57997.016
776,601127.SH,20200409,8.92,9.34,8.87,9.12,8.93,0.19,2.1277,70405.63,64547.401
775,601127.SH,20200410,9.23,9.38,8.83,8.84,9.12,-0.28,-3.0702,47318.25,42666.974
774,601127.SH,20200413,8.59,8.73,8.29,8.41,8.84,-0.43,-4.8643,35787.04,30340.444
773,601127.SH,20200414,8.52,8.63,8.42,8.6,8.41,0.19,2.2592,24821.8,21205.075
772,601127.SH,20200415,8.6,8.64,8.43,8.43,8.6,-0.17,-1.9767,25804.69,21928.494
771,601127.SH,20200416,8.48,8.48,8.33,8.34,8.43,-0.09,-1.0676,25275.54,21169.993
770,601127.SH,20200417,8.39,8.5,8.23,8.24,8.34,-0.1,-1.199,23025,19272.404
769,601127.SH,20200420,8.36,8.45,8.22,8.44,8.24,0.2,2.4272,19150.46,16020.776
768,601127.SH,20200421,8.69,8.69,8.19,8.26,8.44,-0.18,-2.1327,34239.79,28725.082
767,601127.SH,20200422,8.26,8.39,8.18,8.33,8.26,0.07,0.8475,22585,18694.705
766,601127.SH,20200423,8.35,8.79,8.21,8.48,8.33,0.15,1.8007,49987.16,42456.908
765,601127.SH,20200424,8.48,8.67,8.19,8.21,8.48,-0.27,-3.184,37083.22,31117.78
764,601127.SH,20200427,8.2,8.28,8.09,8.09,8.21,-0.12,-1.4616,21762.65,17750.181
763,601127.SH,20200428,8.12,8.14,7.62,7.76,8.09,-0.33,-4.0791,27596.35,21673.081
762,601127.SH,20200429,7.83,7.88,7.67,7.73,7.76,-0.03,-0.3866,14923.87,11576.805
761,601127.SH,20200430,7.8,8.16,7.8,8.15,7.73,0.42,5.4334,30388.79,24398.777
760,601127.SH,20200506,8.05,8.39,8.03,8.38,8.15,0.23,2.8221,29573.55,24494.864
759,601127.SH,20200507,8.39,8.43,8.27,8.33,8.38,-0.05,-0.5967,19596.08,16320.035
758,601127.SH,20200508,8.33,8.41,8.28,8.36,8.33,0.03,0.3601,11800.86,9874.744
757,601127.SH,20200511,8.44,8.67,8.22,8.31,8.36,-0.05,-0.5981,26618.8,22431.28
756,601127.SH,20200512,8.28,8.31,8.05,8.12,8.31,-0.19,-2.2864,27160.75,22170.306
755,601127.SH,20200513,8.1,8.14,8.01,8.07,8.12,-0.05,-0.6158,17025.1,13736.44
754,601127.SH,20200514,8.07,8.31,8.01,8.18,8.07,0.11,1.3631,23489.01,19218.401
753,601127.SH,20200515,8.24,8.25,8.1,8.1,8.18,-0.08,-0.978,12543.16,10231.901
752,601127.SH,20200518,8.13,8.13,7.91,7.94,8.1,-0.16,-1.9753,20968.23,16818.508
751,601127.SH,20200519,7.96,7.99,7.87,7.94,7.94,0,0,12678.52,10057.363
750,601127.SH,20200520,7.92,7.98,7.8,7.87,7.94,-0.07,-0.8816,16309,12888.66
749,601127.SH,20200521,7.88,7.93,7.8,7.84,7.87,-0.03,-0.3812,12339,9689.078
748,601127.SH,20200522,7.88,7.88,7.69,7.75,7.84,-0.09,-1.148,11623,9015.429
747,601127.SH,20200525,7.71,8.1,7.66,7.92,7.75,0.17,2.1935,18081.15,14275.15
746,601127.SH,20200526,7.9,8.02,7.87,7.93,7.92,0.01,0.1263,15352.27,12179.006
745,601127.SH,20200527,7.97,8.02,7.86,7.94,7.93,0.01,0.1261,12801,10168.398
744,601127.SH,20200528,7.93,8.09,7.85,7.9,7.94,-0.04,-0.5038,20773.86,16542.399
743,601127.SH,20200529,7.93,8.1,7.84,8.03,7.9,0.13,1.6456,26710.98,21342.228
742,601127.SH,20200601,8.05,8.32,8.05,8.27,8.03,0.24,2.9888,31161.67,25631.318
741,601127.SH,20200602,8.8,9.1,8.55,8.6,8.27,0.33,3.9903,69778.62,61011.551
740,601127.SH,20200603,8.8,9.46,8.43,9.46,8.6,0.86,10,140502.81,126903.984
739,601127.SH,20200604,10.35,10.41,9.99,10.41,9.46,0.95,10.0423,230870.56,239210.773
738,601127.SH,20200605,10.41,11.45,10.41,11.45,10.41,1.04,9.9904,269377.6,297302.878
737,601127.SH,20200608,11.39,11.39,10.31,10.31,11.45,-1.14,-9.9563,128420.55,135486.771
736,601127.SH,20200609,9.59,9.78,9.28,9.28,10.31,-1.03,-9.9903,219565.77,205945.533
735,601127.SH,20200610,8.91,9.16,8.73,8.96,9.28,-0.32,-3.4483,159410.77,142463.902
734,601127.SH,20200611,8.9,9.36,8.83,9.19,8.96,0.23,2.567,167326.64,152556.727
733,601127.SH,20200612,8.91,9.22,8.75,8.97,9.19,-0.22,-2.3939,136127.48,122181.745
732,601127.SH,20200615,8.86,8.86,8.6,8.6,8.97,-0.37,-4.1249,113912.22,99236.295
731,601127.SH,20200616,8.65,8.74,8.53,8.69,8.6,0.09,1.0465,78403.73,67553.047
730,601127.SH,20200617,8.62,8.69,8.53,8.59,8.69,-0.1,-1.1507,60576.16,52012.081
729,601127.SH,20200618,8.59,8.62,8.47,8.5,8.59,-0.09,-1.0477,49794.79,42484.109
728,601127.SH,20200619,8.47,8.82,8.47,8.73,8.5,0.23,2.7059,101005.92,88015.491
727,601127.SH,20200622,8.66,8.7,8.49,8.51,8.73,-0.22,-2.52,76345,65259.43
726,601127.SH,20200623,8.5,8.51,8.23,8.27,8.51,-0.24,-2.8202,67804.03,56408.256
725,601127.SH,20200624,8.32,8.44,8.23,8.33,8.27,0.06,0.7255,38368.47,31925.517
724,601127.SH,20200629,8.37,8.44,8.2,8.3,8.33,-0.03,-0.3601,34017.35,28238.801
723,601127.SH,20200630,8.35,8.38,8.27,8.31,8.3,0.01,0.1205,30531.39,25369.353
722,601127.SH,20200701,8.33,8.36,8.21,8.24,8.31,-0.07,-0.8424,34299.32,28362.401
721,601127.SH,20200702,8.26,8.39,8.26,8.35,8.24,0.11,1.335,42164.24,35149.124
720,601127.SH,20200703,8.37,8.63,8.36,8.55,8.35,0.2,2.3952,79095.45,67444.085
719,601127.SH,20200706,8.55,8.86,8.47,8.82,8.55,0.27,3.1579,102287.42,88847.369
718,601127.SH,20200707,8.82,9.07,8.74,8.94,8.82,0.12,1.3605,115423.38,103279.47
717,601127.SH,20200708,8.89,9.07,8.78,9.05,8.94,0.11,1.2304,95427.28,85466.787
716,601127.SH,20200709,9.01,9.45,8.94,9.41,9.05,0.36,3.9779,112532.98,102566.945
715,601127.SH,20200710,9.44,9.44,9.12,9.13,9.41,-0.28,-2.9756,90763.69,84160.542
714,601127.SH,20200713,9.13,9.37,9.05,9.35,9.13,0.22,2.4096,81773.08,75732.98
713,601127.SH,20200714,9.34,9.62,9.22,9.62,9.35,0.27,2.8877,110952.77,104623.239
712,601127.SH,20200715,9.66,9.66,9.2,9.22,9.62,-0.4,-4.158,67317.05,62954.842
711,601127.SH,20200716,9.28,9.3,8.84,8.85,9.22,-0.37,-4.013,56077.56,50982.087
710,601127.SH,20200717,8.84,8.96,8.75,8.8,8.85,-0.05,-0.565,30418.79,26885.875
709,601127.SH,20200720,8.9,9.01,8.79,9.01,8.8,0.21,2.3864,32337.33,28809.499
708,601127.SH,20200721,9.03,9.17,8.96,9.02,9.01,0.01,0.111,36230.95,32722.373
707,601127.SH,20200722,8.98,9.37,8.92,9.21,8.98,0.23,2.5612,55010.47,50475.173
706,601127.SH,20200723,9.19,9.24,8.9,9.24,9.21,0.03,0.3257,36057.52,32746.405
705,601127.SH,20200724,9.25,9.44,8.9,8.99,9.24,-0.25,-2.7056,73147.67,67513.884
704,601127.SH,20200727,8.97,9.1,8.67,8.72,8.99,-0.27,-3.0033,43166.9,37910.055
703,601127.SH,20200728,8.74,8.94,8.59,8.65,8.72,-0.07,-0.8028,38776.95,33880.549
702,601127.SH,20200729,8.6,8.85,8.46,8.84,8.65,0.19,2.1965,36544,31700.108
701,601127.SH,20200730,8.83,8.99,8.77,8.99,8.84,0.15,1.6968,37155.49,33035.776
700,601127.SH,20200731,8.92,8.96,8.77,8.95,8.99,-0.04,-0.4449,36275,32230.428
699,601127.SH,20200803,8.95,9.13,8.95,9.09,8.95,0.14,1.5642,43570,39419.513
698,601127.SH,20200804,9.12,9.2,9,9.05,9.09,-0.04,-0.44,29951.47,27150.212
697,601127.SH,20200805,9.09,9.09,8.9,8.92,9.05,-0.13,-1.4365,32846.27,29379.808
696,601127.SH,20200806,8.94,8.97,8.79,8.87,8.92,-0.05,-0.5605,27061,24009.353
695,601127.SH,20200807,8.86,9.09,8.8,9.09,8.87,0.22,2.4803,45289,40470.572
694,601127.SH,20200810,9.12,9.27,9.05,9.15,9.09,0.06,0.6601,68710,63012.372
693,601127.SH,20200811,9.18,9.89,9.07,9.47,9.15,0.32,3.4973,127654.92,120016.194
692,601127.SH,20200812,9.31,9.4,8.97,9.17,9.47,-0.3,-3.1679,88282.76,80460.79
691,601127.SH,20200813,9.18,9.28,9.07,9.08,9.17,-0.09,-0.9815,50125,45957.584
690,601127.SH,20200814,9.06,9.25,8.94,9.2,9.08,0.12,1.3216,48967,44502.151
689,601127.SH,20200817,9.22,9.26,9.11,9.2,9.2,0,0,42737.84,39251.085
688,601127.SH,20200818,9.21,9.35,9.13,9.14,9.2,-0.06,-0.6522,49837.5,45931.734
687,601127.SH,20200819,9.14,9.24,9.04,9.09,9.14,-0.05,-0.547,45429.55,41491.026
686,601127.SH,20200820,9.09,9.15,8.91,8.91,9.09,-0.18,-1.9802,40289.48,36236.906
685,601127.SH,20200821,8.93,9.03,8.91,8.98,8.91,0.07,0.7856,21511,19306.861
684,601127.SH,20200824,8.96,9,8.89,8.94,8.98,-0.04,-0.4454,24666.62,22037.108
683,601127.SH,20200825,8.98,9,8.8,8.83,8.94,-0.11,-1.2304,26661.1,23726.857
682,601127.SH,20200826,8.85,8.88,8.64,8.71,8.83,-0.12,-1.359,25809.01,22652.926
681,601127.SH,20200827,8.7,8.98,8.66,8.89,8.71,0.18,2.0666,27510.88,24386.019
680,601127.SH,20200828,8.93,9.02,8.8,8.94,8.89,0.05,0.5624,30480.07,27105.165
679,601127.SH,20200831,8.95,9.09,8.8,8.8,8.94,-0.14,-1.566,32819.86,29167.296
